Year,Area,Production,Temparature,Rain,Yield (ton/ha),Crop
1998-99,3526.67,10551.9,25.98,199.04,,Boro
1973-74,3107.9,2801.0,24.82,200.52,0.9,Aus
2011-12,4810.0,18783.0,25.23,214.26,,Boro
1990-91,5775.3,9167.0,25.27,210.09,1.59,Aman
1977-78,1093.7,2239.0,24.69,184.45,,Boro
1983-84,6006.7,7843.0,25.13,235.95,1.31,Aman
1998-99,1424.26,1616.9,25.98,199.04,1.14,Aus
2002-03,5682.11,11118.4,25.24,194.73,1.96,Aman
2003-04,1202.58,1831.8,25.64,209.63,1.52,Aus
1980-81,6035.8,7964.0,24.94,216.13,1.32,Aman
1997-98,5808.45,8849.8,25.11,195.14,1.52,Aman
2018-19,1145.13,2920.2,35.16,189.03,2.55,Aus
2016-17,4547.3,18411.8,22.18,220.05,,Boro
1989-90,2255.0,2475.0,25.14,203.59,1.1,Aus
2007-08,4607.85,17762.0,25.57,243.33,,Boro
1988-89,2683.46,2856.0,25.56,249.04,1.06,Aus
1989-90,5702.5,9202.0,25.14,203.59,1.61,Aman
1991-92,1915.9,2179.0,24.77,185.96,1.14,Aus
1997-98,2888.56,8137.3,25.11,195.14,,Boro
2001-02,5647.22,10726.0,25.58,194.45,1.9,Aman
2000-01,5709.96,11249.0,25.37,189.31,1.97,Aman
1978-79,1071.8,1929.0,25.52,161.94,,Boro
2007-08,5048.16,9662.0,25.57,243.33,1.91,Aman
1991-92,2634.9,6807.0,24.77,185.96,,Boro
1977-78,3161.7,3103.0,24.69,184.45,0.98,Aus
1993-94,5843.3,9419.2,25.02,194.68,1.61,Aman
1986-87,2903.6,3130.0,25.28,161.41,1.08,Aus
2006-07,4250.1,14965.0,25.68,190.701,,Boro
2004-05,1024.68,1500.0,25.53,160.85,1.46,Aus
1982-83,5993.0,7516.0,24.89,204.1,1.25,Aman
2008-09,4716.31,17809.0,26.04,165.24,,Boro
2016-17,5583.3,13656.0,22.18,220.05,2.44,Aman
1992-93,2598.9,6586.0,24.59,200.12,,Boro
1998-99,5165.5,7735.8,25.98,199.04,1.5,Aman
1975-76,5759.9,7045.0,24.88,218.51,1.22,Aman
2000-01,3761.84,11920.5,25.37,189.31,,Boro
2002-03,3844.84,12222.2,25.24,194.73,,Boro
2018-19,4909.85,20388.5,35.16,189.03,,Boro
2013-14,5530.2,13023.3,24.81,167.41,2.36,Aman
1987-88,5590.4,7690.0,25.34,222.56,1.38,Aman
1981-82,6010.3,7209.0,25.07,186.06,1.2,Aman
1988-89,2438.3,5831.0,25.56,249.04,,Boro
2007-08,918.66,1507.0,25.57,243.33,1.64,Aus
2012-13,4760.0,18778.0,25.04,177.93,,Boro
1978-79,3234.6,3287.0,25.52,161.94,1.02,Aus
2015-16,1025.0,2468.0,24.91,202.2,2.44,Aus
2013-14,4790.0,19007.0,24.81,167.41,,Boro
1981-82,1301.7,3152.0,25.07,186.06,,Boro
1971-72,5410.7,5695.0,24.5,152.65,1.05,Aman
1995-96,1541.85,1676.0,25.34,212.72,1.09,Aus
1987-88,2788.3,2993.0,25.34,222.56,1.07,Aus
1999-00,5704.87,10306.0,24.96,251.5,1.81,Aman
2011-12,5580.0,12798.0,25.23,214.26,2.29,Aman
1982-83,3158.1,3065.0,24.89,204.1,0.97,Aus
1995-96,5646.4,8790.0,25.34,212.72,1.56,Aman
1996-97,5802.49,9551.0,24.92,187.09,1.65,Aman
1994-95,5594.17,8504.0,25.37,140.23,1.52,Aman
1990-91,2547.9,6357.0,25.27,210.09,,Boro
2006-07,905.71,1512.0,25.68,190.701,1.67,Aus
2015-16,4685.1,19001.1,24.91,202.2,,Boro
2015-16,5590.4,13591.4,24.91,202.2,2.43,Aman
1986-87,6052.4,8267.0,25.28,161.41,1.37,Aman
1974-75,1161.2,2250.0,25.1,203.62,,Boro
2010-11,5645.64,12791.0,25.7,188.23,2.27,Aman
1990-91,2107.3,2261.0,25.27,210.09,1.07,Aus
1987-88,1942.6,4731.0,25.34,222.56,,Boro
2018-19,5621.9,14054.9,35.16,189.03,2.5,Aman
2016-17,941.7,2133.6,22.18,220.05,2.27,Aus
1983-84,1401.2,3350.0,25.13,235.95,,Boro
2004-05,5279.92,9819.0,25.53,160.85,1.86,Aman
2008-09,1065.56,1895.0,26.04,165.24,1.78,Aus
1971-72,866.4,1738.0,24.5,152.65,,Boro
1984-85,2937.6,2783.0,25.29,235.95,0.95,Aus
1999-00,3651.89,11027.0,24.96,251.5,,Boro
2000-01,1325.23,1916.0,25.37,189.31,1.45,Aus
1975-76,3419.9,3229.0,24.88,218.51,0.94,Aus
1976-77,5806.4,6905.0,24.8,204.59,1.19,Aman
1993-94,2580.8,6772.2,25.02,194.68,,Boro
2019-20,1134.0,3012.0,22.38,262.156,2.66,Aus
1971-72,3001.6,2341.0,24.5,152.65,0.78,Aus
2006-07,5415.62,10841.0,25.68,190.701,2.0,Aman
2002-03,1243.72,1850.7,25.24,194.73,1.49,Aus
1999-00,1351.32,1734.0,24.96,251.5,1.28,Aus
2005-06,5429.01,10810.0,25.81,165.63,1.99,Aman
1984-85,1574.4,3909.0,25.29,235.95,,Boro
1978-79,5805.1,7429.0,25.52,161.94,1.28,Aman
2014-15,5530.0,13190.2,24.83,178.67,2.38,Aman
1992-93,1735.1,2075.0,24.59,200.12,1.2,Aus
2017-18,1075.1,2709.7,22.975,144.83,2.52,Aus
2005-06,1034.27,1745.0,25.81,165.63,1.69,Aus
2004-05,4063.79,13837.1,25.53,160.85,,Boro
2005-06,4065.81,13975.3,25.81,165.63,,Boro
2011-12,1138.0,2333.0,25.23,214.26,2.5,Aus
1979-80,5972.7,7303.0,25.4,210.73,1.22,Aman
1984-85,5710.2,7930.0,25.29,235.95,1.39,Aman
2009-10,4706.6,18059.0,26.08,209.38,,Boro
1995-96,2753.57,7220.6,25.34,212.72,,Boro
1974-75,5449.9,6000.0,25.1,203.62,1.1,Aman
1988-89,5100.8,6857.0,25.56,249.04,1.34,Aman
2009-10,5662.89,12207.0,26.08,209.38,2.16,Aman
1994-95,1663.75,1790.7,25.37,140.23,1.08,Aus
2001-02,3771.34,11766.0,25.58,194.45,,Boro
1977-78,5771.2,7422.0,24.69,184.45,1.29,Aman
1982-83,1432.8,3548.0,24.89,204.1,,Boro
1973-74,1222.7,2220.0,24.82,200.52,,Boro
1973-74,5718.7,6699.0,24.82,200.52,1.17,Aman
1985-86,2844.9,2828.0,25.29,226.81,0.99,Aus
1976-77,3217.1,3014.0,24.8,204.59,0.94,Aus
1996-97,2782.59,7460.0,24.92,187.09,,Boro
1972-73,2930.0,2243.0,25.13,187.92,0.77,Aus
1985-86,1533.2,3671.0,25.29,226.81,,Boro
2017-18,5679.5,13993.8,22.975,144.83,2.46,Aman
1986-87,1651.7,4010.0,25.28,161.41,,Boro
1983-84,3138.7,3222.0,25.13,235.95,1.03,Aus
2017-18,4859.4,19575.8,22.975,144.83,,Boro
2001-02,1242.18,1808.0,25.58,194.45,1.46,Aus
1981-82,3145.6,3270.0,25.07,186.06,1.04,Aus
2013-14,1051.0,2326.0,24.81,167.41,2.21,Aus
2012-13,5610.0,12897.0,25.04,177.93,2.3,Aman
1980-81,3111.2,3289.0,24.94,216.13,1.06,Aus
2012-13,1053.0,2158.0,25.04,177.93,2.05,Aus
2019-20,5883.8,15502.0,22.38,262.156,2.63,Aman
2010-11,1112.87,2132.82,25.7,188.23,1.92,Aus
1980-81,1160.0,2630.0,24.94,216.13,,Boro
1992-93,5843.7,9680.0,24.59,200.12,1.66,Aman
1979-80,3036.3,2809.0,25.4,210.73,0.93,Aus
1997-98,1565.88,1874.6,25.11,195.14,1.2,Aus
2003-04,5677.61,11520.5,25.64,209.63,2.03,Aman
2014-15,4846.0,19343.0,24.83,178.67,,Boro
2008-09,5497.77,11613.0,26.04,165.24,2.11,Aman
2010-11,4770.0,18616.0,25.7,188.23,,Boro
1972-73,5713.8,5587.0,25.13,187.92,0.98,Aman
1974-75,3179.1,2859.0,25.1,203.62,0.9,Aus
2003-04,3943.5,12837.1,25.64,209.63,,Boro
1976-77,854.2,1650.0,24.8,204.59,,Boro
1972-73,1002.6,2071.0,25.13,187.92,,Boro
1989-90,2453.6,6033.0,25.14,203.59,,Boro
2009-10,984.22,1709.0,26.08,209.38,1.74,Aus
